CdCommune;LbCommune;StCommune;DateCreationCommune;DateMajCommune;CdComiteBassin;NumCircAdminBassin;CdEuDistrict;CdBassinDCE
Numéro de la commune;Nom de la Commune;StCommune;DateCreationCommune;DateMajCommune;Code du comité de bassin;Numéro de la circonscription de bassin;Code européen du district hydrographique;Code du bassin DCE
"01001";"L'ABERGEMENT-CLÉMENCIAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01002";"L'ABERGEMENT-DE-VAREY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01004";"AMBÉRIEU-EN-BUGEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01005";"AMBÉRIEUX-EN-DOMBES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01006";"AMBLÉON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01007";"AMBRONAY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01008";"AMBUTRIX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01009";"ANDERT-ET-CONDON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01010";"ANGLEFORT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01011";"APREMONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01012";"ARANC";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01013";"ARANDAS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01014";"ARBENT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01015";"ARBOYS EN BUGEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01016";"ARBIGNY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01017";"ARGIS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01019";"ARMIX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01021";"ARS-SUR-FORMANS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01022";"ARTEMARE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01023";"ASNIÈRES-SUR-SAÔNE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01024";"ATTIGNAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01025";"BÂGÉ-LA-VILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01026";"BÂGÉ-LE-CHÂTEL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01027";"BALAN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01028";"BANEINS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01029";"BEAUPONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01030";"BEAUREGARD";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01031";"BELLIGNAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01032";"BÉLIGNEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01033";"BELLEGARDE-SUR-VALSERINE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01034";"BELLEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01035";"BELLEYDOUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01036";"BELMONT-LUTHÉZIEU";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01037";"BÉNONCES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01038";"BÉNY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01039";"BÉON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01040";"BÉRÉZIAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01041";"BETTANT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01042";"BEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01043";"BEYNOST";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01044";"BILLIAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01045";"BIRIEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01046";"BIZIAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01047";"BLYES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01049";"LA BOISSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01050";"BOISSEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01051";"BOLOZON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01052";"BOULIGNEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01053";"BOURG-EN-BRESSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01054";"BOURG-SAINT-CHRISTOPHE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01056";"BOYEUX-SAINT-JÉRÔME";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01057";"BOZ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01058";"BRÉGNIER-CORDON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01059";"BRÉNAZ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01060";"BRÉNOD";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01061";"BRENS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01062";"BRESSOLLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01063";"BRION";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01064";"BRIORD";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01065";"BUELLAS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01066";"LA BURBANCHE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01067";"CEIGNES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01068";"CERDON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01069";"CERTINES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01071";"CESSY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01072";"CEYZÉRIAT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01073";"CEYZÉRIEU";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01074";"CHALAMONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01075";"CHALEINS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01076";"CHALEY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
"01077";"CHALLES-LA-MONTAGNE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000006";"06";"EU35";"D"
